name,email,date_of_birth,mobile_no,name_clean,failure_reason
Kristen Horn,Kristen_Horn@lin.com,1974-09-10,737931,Kristen Horn,invalid_mobile
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,02/27/1974,2692047,Kimberly Chang,invalid_mobile
Mary Ball,Mary_Ball@stevens.biz,02/05/1968,886359,Mary Ball,invalid_mobile
Benjamin Craig,Benjamin_Craig@berry.net,12/11/1988,696429,Benjamin Craig,invalid_mobile
Cathy Werner,Cathy_Werner@martinez.net,2018-09-25,7138041,Cathy Werner,invalid_mobile;below_18
Brandon Bell,Brandon_Bell@johnson-burgess.com,1961-10-27,768543,Brandon Bell,invalid_mobile
Paul Farley,Paul_Farley@payne-taylor.com,1980-11-22,8196105,Paul Farley,invalid_mobile
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,2017/04/26,12556,Sarah Mcdaniel,invalid_mobile;below_18
Caroline Anderson,Caroline_Anderson@blair-phillips.com,02/27/1988,5818212,Caroline Anderson,invalid_mobile
Carl Jones,Carl_Jones@coleman.com,06/21/1993,220035,Carl Jones,invalid_mobile
Scott Lee,Scott_Lee@phillips.com,2010-07-12,52145751,Scott Lee,below_18
Kaylee Coleman,Kaylee_Coleman@hammond.com,10/08/2009,156657,Kaylee Coleman,invalid_mobile;below_18
Charles Parker,Charles_Parker@morris-keller.com,12/20/1980,92921,Charles Parker,invalid_mobile
Susan Hess,Susan_Hess@sharp-hodges.net,1950-05-21,46541,Susan Hess,invalid_mobile
Kiara Collier,Kiara_Collier@chandler.biz,1959-05-21,955551,Kiara Collier,invalid_mobile
Mr. Scott Martinez,Scott_Martinez@goodwin.com,02/16/1992,369441,Scott Martinez,invalid_mobile
Christopher Ortega,Christopher_Ortega@perez.biz,1959-06-18,9968155,Christopher Ortega,invalid_mobile
Michael Russell,Michael_Russell@nunez-wright.com,2013/01/20,6400283,Michael Russell,invalid_mobile;below_18
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,2006/11/10,115935,Dwayne Johnson,invalid_mobile;below_18
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,25-04-1975,143073,Deanna Sherman,invalid_mobile
Douglas Francis,Douglas_Francis@king-cross.org,21-12-1992,1535885,Douglas Francis,invalid_mobile
Vicki Diaz,Vicki_Diaz@macdonald-day.com,1993/10/05,165459,Vicki Diaz,invalid_mobile
Robin Phillips,Robin_Phillips@krause.net,1974-07-15,69531,Robin Phillips,invalid_mobile
Travis Rice,Travis_Rice@bradley.net,05/08/2006,3631 6303,Travis Rice,invalid_mobile;below_18
Ashley Rocha,Ashley_Rocha@hicks.info,1956/09/11,7046565,Ashley Rocha,invalid_mobile
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,03/09/1958,6107 1779,Sarah Jacobson,invalid_mobile
Joseph Torres,Joseph_Torres@johnson.com,1955/05/05,34376,Joseph Torres,invalid_mobile
Kim Jones,Kim_Jones@little.net,02-11-1985,34401,Kim Jones,invalid_mobile
Melissa Tanner,Melissa_Tanner@johnson.net,04/30/1989,70391,Melissa Tanner,invalid_mobile
Sonya Foster,Sonya_Foster@garcia-browning.com,10-09-1988,143877,Sonya Foster,invalid_mobile
Mr. Thomas Rivera,Thomas_Rivera@guzman-avila.com,1951/07/15,843813,Thomas Rivera,invalid_mobile
Jamie Silva,Jamie_Silva@hill.com,2006/06/21,469791,Jamie Silva,invalid_mobile;below_18
Kathleen Moore,Kathleen_Moore@avila.info,1952/02/03,609093,Kathleen Moore,invalid_mobile
Evelyn Pineda,Evelyn_Pineda@sullivan-collins.net,02/04/1958,8819217,Evelyn Pineda,invalid_mobile
Kyle Peters,Kyle_Peters@cole-edwards.com,1995/08/25,346701,Kyle Peters,invalid_mobile
Anthony Cruz,Anthony_Cruz@burns.com,22-02-1955,1742399,Anthony Cruz,invalid_mobile
Gary Harper,Gary_Harper@bell-mueller.com,01/11/1998,77546,Gary Harper,invalid_mobile
Linda Johnson,Linda_Johnson@williams.biz,1959/07/29,828207,Linda Johnson,invalid_mobile
Melissa Smith,Melissa_Smith@carroll.org,1997-12-08,9831067,Melissa Smith,invalid_mobile
Kristen Floyd,Kristen_Floyd@robinson.com,1993-05-25,4685654,Kristen Floyd,invalid_mobile
William Diaz,William_Diaz@cruz-norris.com,02/16/1987,97811,William Diaz,invalid_mobile
Benjamin Smith,Benjamin_Smith@christian-contreras.com,12/23/1987,9583 5639,Benjamin Smith,invalid_mobile
David Glenn,David_Glenn@jenkins-mcfarland.org,15-06-2011,960561,David Glenn,invalid_mobile;below_18
Dawn Jones,Dawn_Jones@ashley-johnson.com,2007/03/02,91686479,Dawn Jones,below_18
Joel Smith,Joel_Smith@walker-roth.biz,1971-09-09,8287875,Joel Smith,invalid_mobile
