name,email,date_of_birth,mobile_no,failure_reason
Tony Shepherd,Tony_Shepherd@petersen.com,07/03/2016,711447,invalid_mobile;below_18
Ashlee Austin,Ashlee_Austin@melendez.com,12/09/1992,6454197,invalid_mobile
Marc Meyer,Marc_Meyer@chavez.com,1996/05/17,9727376,invalid_mobile
Jennifer Vega,Jennifer_Vega@jenkins.net,03/07/1971,6655 1251,invalid_mobile
Emily Christian,Emily_Christian@hardy-ball.biz,1993/11/27,83586,invalid_mobile
Billy Knight,Billy_Knight@thomas.biz,01/27/1955,4983 3743,invalid_mobile
Shane Davis,Shane_Davis@smith.net,2006/06/25,42361783,below_18
Laura Harding,Laura_Harding@jackson.com,2017-12-18,32048503,below_18
Zachary Payne,Zachary_Payne@espinoza.info,17-02-2018,7802719,invalid_mobile;below_18
Jeffery Leon,Jeffery_Leon@clark.com,2004-03-24,9076271,invalid_mobile;below_18
Jennifer Martin,Jennifer_Martin@anderson-ford.com,1999-01-12,1878563,invalid_mobile
Katie Mcgee,Katie_Mcgee@moran.com,25-06-1967,65726,invalid_mobile
Michael Parker,Michael_Parker@mcfarland-johns.com,1984-10-03,569205,invalid_mobile
Robert Atkins,Robert_Atkins@west.net,09-11-2017,831963,invalid_mobile;below_18
Stephanie Brown,Stephanie_Brown@mueller-simmons.info,08-06-1976,8354970,invalid_mobile
Erin Paul,Erin_Paul@vaughan-moore.com,12/22/2008,923211,invalid_mobile;below_18
Kristina Torres,Kristina_Torres@wilson.com,02/17/1956,65486,invalid_mobile
Timothy Scott,Timothy_Scott@williams.info,21-06-1992,169047,invalid_mobile
Ronald Carter,Ronald_Carter@campbell-fitzgerald.com,16-01-1968,5109812,invalid_mobile
Catherine Smith,Catherine_Smith@king.org,20-05-1988,1996933,invalid_mobile
Mrs. Catherine Rivers,Catherine_Rivers@tate-barnes.com,1975/03/13,8648641,invalid_mobile
Cynthia White,Cynthia_White@hogan.com,1951-08-21,722319,invalid_mobile
Shawn Rojas,Shawn_Rojas@weber.com,15-12-1960,64641,invalid_mobile
John Leon,John_Leon@campbell-wu.org,1985/11/29,5767672,invalid_mobile
Karen Lopez,Karen_Lopez@vargas-lewis.com,24-06-1985,8649712,invalid_mobile
Melissa Hogan,Melissa_Hogan@rodriguez-hughes.biz,2015-05-31,68883495,below_18
Megan Wilson,Megan_Wilson@martinez.com,08/31/1953,591723,invalid_mobile
Justin Roberts,Justin_Roberts@wilson.com,12-02-2004,1171528,invalid_mobile;below_18
Ashley Fernandez,Ashley_Fernandez@johnson-perry.info,1960-03-22,49631,invalid_mobile
Terry Oliver,Terry_Oliver@raymond-stewart.info,08-07-2013,6019686,invalid_mobile;below_18
Mr. Timothy Ortega,Timothy_Ortega@ramos.com,01/04/1998,5931 2963,invalid_mobile
Brittany Ellison,Brittany_Ellison@nolan.com,2004/04/04,82360847,below_18
Aaron Clark,Aaron_Clark@sanchez.com,1964-05-11,3522877,invalid_mobile
Michael Johnson,Michael_Johnson@jackson-cervantes.com,07/08/1950,763653,invalid_mobile
Heather Jones,Heather_Jones@medina.org,11-07-2009,57191,invalid_mobile;below_18
Carly Estrada,Carly_Estrada@kim.com,1976-09-14,2972565,invalid_mobile
Alexandra Hopkins,Alexandra_Hopkins@gaines.com,07/01/2015,2092056,invalid_mobile;below_18
Brittany Short,Brittany_Short@bowen.com,1993-01-19,9283373,invalid_mobile
Julie Hopkins,Julie_Hopkins@roberts.com,30-04-2018,57706,invalid_mobile;below_18
Crystal Long,Crystal_Long@alvarez-warner.biz,27-08-1974,528699,invalid_mobile
